Energy particles 
eV  count 

***************** ISInCa - Ion Surface Interaction Calculator v2024.1.1 *****************
*               by mauveferret@gmail.com from "Plasma physics" dep., MEPhI               *
******************************************************************************************
*         Calculated with SDTrimSP. ISInCa postprocessing id SDTrimSP_74.0_6828          *
*      Postprocessing started at 2024-02-28 at 21:23:58 UTC. Main input parameters:      *
*         H Li beam with E0 = 25000.0 eV at polar angle 74.0 degrees from normal         *
*                azimuth angle 0.0 degrees with doze 100000000 particles                 *
*                                      target of  W                                      *
******************************************************************************************
*          E step 30.0 eV  beta 74.0 deg dBeta 3.0 deg phi 0.0 deg dPhi 3.0 deg          *
******************************************************************************************

*                              calculated  for all elements                              *
******************************************************************************************
0.00 32.000
30.00 32.000
60.00 30.000
90.00 41.000
120.00 51.000
150.00 55.000
180.00 48.000
210.00 65.000
240.00 65.000
270.00 59.000
300.00 67.000
330.00 68.000
360.00 91.000
390.00 84.000
420.00 111.000
450.00 85.000
480.00 102.000
510.00 100.000
540.00 110.000
570.00 105.000
600.00 146.000
630.00 136.000
660.00 136.000
690.00 143.000
720.00 137.000
750.00 150.000
780.00 141.000
810.00 152.000
840.00 174.000
870.00 158.000
900.00 170.000
930.00 190.000
960.00 184.000
990.00 227.000
1020.00 185.000
1050.00 170.000
1080.00 222.000
1110.00 232.000
1140.00 209.000
1170.00 224.000
1200.00 218.000
1230.00 238.000
1260.00 241.000
1290.00 247.000
1320.00 251.000
1350.00 277.000
1380.00 285.000
1410.00 251.000
1440.00 280.000
1470.00 284.000
1500.00 295.000
1530.00 306.000
1560.00 332.000
1590.00 310.000
1620.00 285.000
1650.00 318.000
1680.00 294.000
1710.00 300.000
1740.00 353.000
1770.00 305.000
1800.00 321.000
1830.00 322.000
1860.00 388.000
1890.00 344.000
1920.00 339.000
1950.00 351.000
1980.00 433.000
2010.00 350.000
2040.00 407.000
2070.00 386.000
2100.00 398.000
2130.00 401.000
2160.00 386.000
2190.00 448.000
2220.00 404.000
2250.00 387.000
2280.00 442.000
2310.00 427.000
2340.00 416.000
2370.00 432.000
2400.00 428.000
2430.00 454.000
2460.00 468.000
2490.00 477.000
2520.00 505.000
2550.00 480.000
2580.00 477.000
2610.00 468.000
2640.00 487.000
2670.00 484.000
2700.00 504.000
2730.00 502.000
2760.00 508.000
2790.00 515.000
2820.00 497.000
2850.00 491.000
2880.00 496.000
2910.00 512.000
2940.00 548.000
2970.00 533.000
3000.00 528.000
3030.00 547.000
3060.00 572.000
3090.00 567.000
3120.00 541.000
3150.00 569.000
3180.00 605.000
3210.00 587.000
3240.00 648.000
3270.00 575.000
3300.00 550.000
3330.00 612.000
3360.00 652.000
3390.00 642.000
3420.00 655.000
3450.00 639.000
3480.00 654.000
3510.00 654.000
3540.00 690.000
3570.00 700.000
3600.00 672.000
3630.00 715.000
3660.00 720.000
3690.00 747.000
3720.00 721.000
3750.00 748.000
3780.00 700.000
3810.00 737.000
3840.00 729.000
3870.00 754.000
3900.00 781.000
3930.00 791.000
3960.00 793.000
3990.00 760.000
4020.00 805.000
4050.00 784.000
4080.00 834.000
4110.00 825.000
4140.00 881.000
4170.00 802.000
4200.00 858.000
4230.00 921.000
4260.00 894.000
4290.00 915.000
4320.00 900.000
4350.00 913.000
4380.00 866.000
4410.00 964.000
4440.00 953.000
4470.00 1004.000
4500.00 950.000
4530.00 986.000
4560.00 993.000
4590.00 993.000
4620.00 989.000
4650.00 1011.000
4680.00 1100.000
4710.00 1013.000
4740.00 1029.000
4770.00 1067.000
4800.00 1047.000
4830.00 1061.000
4860.00 1108.000
4890.00 1097.000
4920.00 1156.000
4950.00 1145.000
4980.00 1093.000
5010.00 1112.000
5040.00 1219.000
5070.00 1218.000
5100.00 1247.000
5130.00 1181.000
5160.00 1233.000
5190.00 1298.000
5220.00 1283.000
5250.00 1306.000
5280.00 1310.000
5310.00 1318.000
5340.00 1311.000
5370.00 1369.000
5400.00 1331.000
5430.00 1313.000
5460.00 1436.000
5490.00 1412.000
5520.00 1459.000
5550.00 1413.000
5580.00 1487.000
5610.00 1462.000
5640.00 1507.000
5670.00 1455.000
5700.00 1521.000
5730.00 1471.000
5760.00 1611.000
